,AAPL,MSFT,JNJ,UNH,JPM,BAC,XOM,CVX,PG,KO
2026-04-14,258.5799865722656,393.0950012207031,240.02000427246094,314.4700012207031,310.45001220703125,53.1349983215332,149.33999633789062,187.49000549316406,144.2100067138672,76.01499938964844
2026-04-15,266.2149963378906,411.1700134277344,238.4600067138672,314.8599853515625,305.69000244140625,54.29999923706055,149.10000610351562,184.58999633789062,143.50999450683594,75.2750015258789
2026-04-16,263.42498779296875,420.5299987792969,234.92999267578125,316.6000061035156,309.82000732421875,53.525001525878906,151.85000610351562,187.80999755859375,143.32000732421875,75.25499725341797
2026-04-17,270.1099853515625,423.2699890136719,234.17999267578125,324.24249267578125,310.45001220703125,53.834999084472656,146.45509338378906,184.1999969482422,147.2449951171875,75.88999938964844
2026-04-20,272.69500732421875,417.4200134277344,230.1699981689453,323.8399963378906,316.4100036621094,53.82500076293945,147.5,,144.14999389648438,75.54499816894531
2026-04-21,266.42498779296875,424.0,226.32000732421875,346.6700134277344,313.80999755859375,53.46500015258789,148.41000366210938,186.22000122070312,142.5749969482422,74.91000366210938
2026-04-22,272.8901062011719,432.9649963378906,225.7100067138672,352.80999755859375,313.2300109863281,53.05500030517578,149.27000427246094,186.2100067138672,142.94000244140625,74.6875
2026-04-23,273.3901062011719,415.8900146484375,230.7050018310547,354.44500732421875,312.1700134277344,52.345001220703125,150.46499633789062,187.4499969482422,145.9600067138672,76.3550033569336
2026-04-24,271.18499755859375,424.6199951171875,227.41000366210938,354.7774963378906,308.55999755859375,51.99509811401367,148.7100067138672,184.72999572753906,147.7550048828125,76.69499969482422
2026-04-27,267.6400146484375,424.8599853515625,225.1999969482422,355.0199890136719,312.18499755859375,52.724998474121094,148.7550048828125,184.9949951171875,148.36000061035156,75.47000122070312
2026-04-28,270.82000732421875,429.2099914550781,227.75,366.510009765625,311.760009765625,52.67499923706055,150.67999267578125,188.0800018310547,149.0500030517578,78.19000244140625
2026-04-29,269.9798889160156,424.3099060058594,227.27000427246094,370.40069580078125,309.6000061035156,52.92499923706055,154.4949951171875,192.00999450683594,146.38999938964844,78.93499755859375
